name,url_picture,date_of_birth,age,height,weight,spike,block
Marlena Plesnierowicz,/en/vnl/women/teams/pol-poland/players/marlena-plesnierowicz?id=71046,09/01/1992,27,176,61,295,281
Weronika Centka,/en/vnl/women/teams/pol-poland/players/weronika-centka?id=71031,06/09/2000,19,191,63,312,297
Natalia Murek,/en/vnl/women/teams/pol-poland/players/natalia-murek?id=71044,08/09/1999,20,180,70,302,283
Zuzanna Gorecka,/en/vnl/women/teams/pol-poland/players/zuzanna-gorecka?id=71033,10/04/2000,19,181,63,301,284
Monika Jagła,/en/vnl/women/teams/pol-poland/players/monika-jag%c5%82a?id=71036,04/01/2000,19,177,69,298,285
Alicja Grabka,/en/vnl/women/teams/pol-poland/players/alicja-grabka?id=71034,09/05/1998,21,178,62,290,280
Angelina Lazarenko,/en/vnl/women/teams/rus-russia/players/angelina-lazarenko?id=71063,13/04/1998,21,193,80,320,305
Ekaterina Efimova,/en/vnl/women/teams/rus-russia/players/ekaterina-efimova?id=71060,03/07/1993,26,192,70,305,295
Daria Chikrizova,/en/vnl/women/teams/rus-russia/players/daria-chikrizova?id=71073,09/06/1990,29,177,69,185,180
Ekaterina Orlova,/en/vnl/women/teams/rus-russia/players/ekaterina-orlova?id=71066,21/10/1987,32,193,77,307,301
Irina Koroleva,/en/vnl/women/teams/rus-russia/players/irina-koroleva?id=71079,04/10/1991,28,196,78,305,290
Tatiana Romanova,/en/vnl/women/teams/rus-russia/players/tatiana-romanova?id=71067,09/09/1994,25,178,64,292,285
Nataliya Goncharova,/en/vnl/women/teams/rus-russia/players/nataliya-goncharova?id=71077,01/06/1989,30,194,75,315,306
Alla Galkina,/en/vnl/women/teams/rus-russia/players/alla-galkina?id=71076,15/04/1992,27,178,65,295,290
Ekaterina Evdokimova,/en/vnl/women/teams/rus-russia/players/ekaterina-evdokimova?id=71074,10/09/1994,25,190,73,306,285
Margarita Kurilo,/en/vnl/women/teams/rus-russia/players/margarita-kurilo?id=71467,21/06/1993,26,185,73,304,290
Daria Ryseva,/en/vnl/women/teams/rus-russia/players/daria-ryseva?id=71069,05/03/1998,21,175,69,282,266
Evgeniya Startseva,/en/vnl/women/teams/rus-russia/players/evgeniya-startseva?id=71084,12/02/1989,30,185,68,294,290
Irina Voronkova,/en/vnl/women/teams/rus-russia/players/irina-voronkova?id=71085,20/10/1995,24,190,84,305,290
Valeriya Zaytseva,/en/vnl/women/teams/rus-russia/players/valeriya-zaytseva?id=71469,24/03/1995,24,187,71,307,297
Kseniia Parubets,/en/vnl/women/teams/rus-russia/players/kseniia-parubets?id=71082,31/10/1994,25,183,64,300,286
Mariia Khaletskaia,/en/vnl/women/teams/rus-russia/players/mariia-khaletskaia?id=71422,31/07/1994,25,195,80,311,302
Maria Vorobyeva,/en/vnl/women/teams/rus-russia/players/maria-vorobyeva?id=71071,24/02/1998,21,184,77,306,288
Anna Kotikova,/en/vnl/women/teams/rus-russia/players/anna-kotikova?id=71062,13/10/1999,20,185,71,306,300
Tatiana Iurinskaia,/en/vnl/women/teams/rus-russia/players/tatiana-iurinskaia?id=71061,25/01/1996,23,195,69,305,275
Olga Zubareva,/en/vnl/women/teams/rus-russia/players/olga-zubareva?id=71072,08/11/1998,21,189,74,305,297
Kristina Kurnosova,/en/vnl/women/teams/rus-russia/players/kristina-kurnosova?id=71081,17/06/1997,22,176,62,288,278
